ensemble_size,calibration_batches,edge_per_t,evidences_per_t,T,real_epsilon,mu,rho,estimated_epsilon,time_calibration,distance_epsilon
1,400,4,16,128,0.08312823144481174,0.24448856247164447,16,0.21030000000000001,20.285576581954956,0.12717176855518827
1,400,4,16,256,0.3934635066228645,0.26515868264858083,16,0.299,36.877546072006226,0.09446350662286451
1,400,16,2,16,0.2245490920563446,0.14839234316460803,16,0.3463,5.774903774261475,0.1217509079436554
1,400,16,2,32,0.3904511115787776,0.07754725568508258,16,0.4002,7.831218719482422,0.009748888421222401
1,400,16,2,64,0.006801199303655081,0.18045895545472485,16,0.12240000000000001,11.968728303909302,0.11559880069634493
1,400,16,2,128,0.17617746617789748,0.43027533787501177,16,0.1978,20.292340517044067,0.021622533822102524
1,400,16,2,256,0.26207545291331696,0.07420375514156025,16,0.26780000000000004,36.91160225868225,0.005724547086683074
1,400,16,4,16,0.19699616641892065,0.021785648814209635,16,0.0988,5.781947135925293,0.09819616641892065
1,400,16,4,32,0.23994637865274865,0.138427690188841,16,0.49570000000000003,7.867990970611572,0.2557536213472514
1,400,16,4,64,0.36271829404388395,0.4080053917151182,16,0.4131,12.020099401473999,0.050381705956116074
1,400,16,4,128,0.17961630839325043,0.20574381595737062,16,0.0165,20.33453106880188,0.16311630839325042
1,400,16,4,256,0.21379782877883807,0.3192522529807549,16,0.22130000000000002,37.151644706726074,0.007502171221161952
1,400,16,8,16,0.33196248043647253,0.4633761790788687,16,0.18580000000000002,5.7936670780181885,0.1461624804364725
1,400,16,8,32,0.2076683352256125,0.3864241815322866,16,0.0785,7.905754327774048,0.1291683352256125
1,400,16,8,64,0.452499629839393,0.11468725649760259,16,0.45580000000000004,12.06043028831482,0.0033003701606070246
1,400,16,8,128,0.11200343721051814,0.23268511417580862,16,0.1119,20.340548515319824,0.00010343721051814248
1,400,16,8,256,0.31663005862495064,0.4992610716448148,16,0.3139,37.16194033622742,0.0027300586249506265
1,400,16,16,16,0.04149079887189383,0.439514401836149,16,0.37020000000000003,5.786472797393799,0.3287092011281062
1,400,16,16,32,0.13966642022558284,0.3650696833027574,16,0.2551,7.878974199295044,0.11543357977441715
1,400,16,16,64,0.11170566557518996,0.002901579104940266,16,0.0591,12.013949155807495,0.05260566557518996
1,400,16,16,128,0.20324367207978722,0.14685041901675205,16,0.0753,20.35600996017456,0.1279436720797872
1,400,16,16,256,0.0471978681584041,0.07727317581416915,16,0.2079,36.955775022506714,0.1607021318415959
1,400,64,2,16,0.1745554300075312,0.27973352527980255,16,0.3045,5.778412580490112,0.12994456999246878
1,400,64,2,32,0.22376410917065115,0.0776061382357755,16,0.1041,7.871135950088501,0.11966410917065115
1,400,64,2,64,0.37677714323356193,0.2615418153096666,16,0.4209,12.04307246208191,0.04412285676643807
1,400,64,2,128,0.2813741497582965,0.3542597206020385,16,0.2649,20.384687185287476,0.016474149758296475
1,400,64,2,256,0.3958950840712299,0.3511404538957964,16,0.381,37.08080339431763,0.014895084071229914
1,400,64,4,16,0.32348573359359273,0.48862440472819935,16,0.4656,5.788770914077759,0.14211426640640729
1,400,64,4,32,0.44127444686025213,0.1402183766404811,16,0.1396,7.8760151863098145,0.30167444686025213
1,400,64,4,64,0.06325608838827002,0.09039395794754929,16,0.1068,12.053741931915283,0.04354391161172999
1,400,64,4,128,0.4267236505354875,0.4175298978616677,16,0.4384,20.420007705688477,0.011676349464512514
1,400,64,4,256,0.36695893701134413,0.42067148400263865,16,0.38180000000000003,37.09047293663025,0.014841062988655895
1,400,64,8,16,0.37277084690832096,0.40560817710867336,16,0.4671,5.79949688911438,0.09432915309167905
1,400,64,8,32,0.36609472016983735,0.17735534101661188,16,0.305,7.91457462310791,0.06109472016983736
1,400,64,8,64,0.21999873000701703,0.10860507329488495,16,0.21710000000000002,12.100342512130737,0.002898730007017014
1,400,64,8,128,0.4550347087464234,0.459750551311556,16,0.4636,20.40808606147766,0.008565291253576635
1,400,64,8,256,0.27010070822903315,0.3510696853500044,16,0.2541,37.24290752410889,0.016000708229033156
1,400,64,16,16,0.47408784501063883,0.01751086453552375,16,0.2107,5.814738035202026,0.26338784501063883
1,400,64,16,32,0.35365083932976993,0.41839597122389766,16,0.3942,7.9085047245025635,0.04054916067023007
1,400,64,16,64,0.49450045129930037,0.31335526849608736,16,0.36610000000000004,12.062517404556274,0.12840045129930033
1,400,64,16,128,0.12354468494273424,0.33273374292147345,16,0.1517,20.408124923706055,0.028155315057265762
1,400,64,16,256,0.2843492077733658,0.11892497650251188,16,0.22360000000000002,37.16147971153259,0.06074920777336579
1,400,1,2,16,0.03195326497430062,0.030412365572971,16,0.0071,5.517505168914795,0.02485326497430062
1,400,1,2,32,0.34023094033072543,0.2267924259785405,16,0.3497,7.291177988052368,0.009469059669274582
1,400,1,2,64,0.4928602871058044,0.4216871598136746,16,0.4929,10.801268815994263,3.971289419563151e-05
1,400,1,2,128,0.22609668997454863,0.43810493608476464,16,0.3241,17.90655755996704,0.09800331002545137
1,400,1,2,256,0.3222290001524663,0.21672044041706479,16,0.3405,32.100101709365845,0.01827099984753372
1,400,1,4,16,0.15771984173992315,0.2407221076260933,16,0.1588,5.507588624954224,0.0010801582600768467
1,400,1,4,32,0.25890834793194795,0.0011724023453176247,16,0.3675,7.2890119552612305,0.10859165206805205
1,400,1,4,64,0.46200785162083136,0.10817350263968895,16,0.4995,10.826847076416016,0.037492148379168644
1,400,1,4,128,0.20729967584157233,0.36292415209220286,16,0.2886,17.977261304855347,0.0813003241584277
1,400,1,4,256,0.40299070007598536,0.13971717522865018,16,0.4344,32.27641439437866,0.031409299924014644
1,400,1,8,16,0.3626254951811449,0.04360160881087355,16,0.36110000000000003,5.498768329620361,0.0015254951811448647
1,400,1,8,32,0.4587196467543801,0.07678158988150002,16,0.47540000000000004,7.288419723510742,0.01668035324561995
1,400,1,8,64,0.4605732444522651,0.2106932759827096,16,0.37020000000000003,10.82803750038147,0.09037324445226508
1,400,1,8,128,0.1483509567032653,0.36543505222801903,16,0.1564,17.973480939865112,0.008049043296734698
1,400,1,8,256,0.26011655959705887,0.10522640047280479,16,0.303,32.250144243240356,0.04288344040294112
1,400,1,16,16,0.42001282974769033,0.35441750104186676,16,0.4933,5.4982006549835205,0.07328717025230969
1,400,1,16,32,0.2873482142638627,0.2857966331223346,16,0.1618,7.273849010467529,0.1255482142638627
1,400,1,16,64,0.14946611421956674,0.40504342511959085,16,0.14150000000000001,10.838316202163696,0.007966114219566722
1,400,1,16,128,0.059624763539703196,0.04759532927231597,16,0.0845,17.945183992385864,0.02487523646029681
1,400,1,16,256,0.30893931472354846,0.0328683295565122,16,0.4303,32.1862313747406,0.12136068527645155
1,400,4,2,16,0.05661390119796478,0.215377136542185,16,0.0028,5.768597364425659,0.05381390119796478
1,400,4,2,32,0.30182366680207595,0.23844878767594258,16,0.44880000000000003,7.864035606384277,0.14697633319792408
1,400,4,2,64,0.3474741788997501,0.1664160087319193,16,0.4535,11.989143133163452,0.10602582110024994
1,400,4,2,128,0.43802532767762004,0.053928509433313954,16,0.4501,20.37015724182129,0.012074672322379965
1,400,4,2,256,0.10331852916646278,0.25219846839562,16,0.0005,36.91609477996826,0.10281852916646278
1,400,4,4,16,0.21773086922717466,0.31184321195707043,16,0.13390000000000002,5.796048164367676,0.08383086922717464
1,400,4,4,32,0.20037559990499476,0.4792547660380943,16,0.0979,7.859025716781616,0.10247559990499476
1,400,4,4,64,0.4685151897925607,0.018347493150302707,16,0.4511,11.990444660186768,0.01741518979256068
1,400,4,4,128,0.32251399368783934,0.25648037902737353,16,0.2099,20.266441106796265,0.11261399368783934
1,400,4,4,256,0.1080858919579133,0.15008586211935537,16,0.09000000000000001,36.92812180519104,0.018085891957913283
1,400,4,8,16,0.19007454644191668,0.33305482651130636,16,0.1837,5.767338991165161,0.006374546441916679
1,400,4,8,32,0.3308243789853638,0.24563130655680193,16,0.4465,7.861850738525391,0.11567562101463619
1,400,4,8,64,0.475034974708674,0.21552342738794805,16,0.4978,11.990016460418701,0.022765025291326013
1,400,4,8,128,0.3405861168667528,0.2224142916044869,16,0.3453,20.29883646965027,0.004713883133247221
1,400,4,8,256,0.03697610561017267,0.12122370177507641,16,0.0999,36.91778349876404,0.06292389438982733
1,400,4,16,16,0.23405952839638566,0.15728979374684054,16,0.0446,5.782671213150024,0.18945952839638566
1,400,4,16,32,0.2501430900630838,0.4226114671044837,16,0.4985,7.855550289154053,0.24835690993691623
1,400,4,16,64,0.3039138823538328,0.4995629926350756,16,0.12140000000000001,12.00568962097168,0.1825138823538328
1,400,4,16,128,0.08859582907429875,0.08182339871985256,16,0.0472,20.32037615776062,0.04139582907429875
1,400,4,16,256,0.2289527778730882,0.24240882153440774,16,0.15430000000000002,36.991016149520874,0.07465277787308819
1,400,16,2,16,0.13418362822313723,0.07098822193804027,16,0.331,5.766884088516235,0.1968163717768628
1,400,16,2,32,0.4863827536240471,0.39067427810219546,16,0.4698,7.85421895980835,0.016582753624047097
1,400,16,2,64,0.4213501777719361,0.44536491671689027,16,0.4287,11.980482816696167,0.007349822228063907
1,400,16,2,128,0.00719824899316035,0.27276232903842085,16,0.1135,20.32598853111267,0.10630175100683965
1,400,16,2,256,0.4862520122433322,0.46097233478450717,16,0.404,36.95030474662781,0.08225201224333217
1,400,16,4,16,0.4872405226385012,0.45064008149709267,16,0.42160000000000003,5.766024589538574,0.06564052263850118
1,400,16,4,32,0.35841343742321363,0.40919342606522474,16,0.4651,7.831222057342529,0.10668656257678638
1,400,16,4,64,0.42202472292416054,0.3391147414704486,16,0.2651,11.994509935379028,0.15692472292416054
1,400,16,4,128,0.09388621433339506,0.07453868699958505,16,0.0006000000000000001,20.35984468460083,0.09328621433339505
1,400,16,4,256,0.31638926352892777,0.3564369206250562,16,0.3799,36.980067014694214,0.06351073647107225
1,400,16,8,16,0.07010225252523583,0.05340192437596458,16,0.4665,5.7738401889801025,0.3963977474747642
1,400,16,8,32,0.03723386528329797,0.06354430187287113,16,0.3539,7.862633228302002,0.316666134716702
1,400,16,8,64,0.22642098811902195,0.18018240687164355,16,0.05,11.997333288192749,0.17642098811902196
1,400,16,8,128,0.28470888202431316,0.30926067760097375,16,0.2927,20.37294316291809,0.007991117975686857
1,400,16,8,256,0.013944462117836898,0.16845749615652622,16,0.0046,37.02069973945618,0.009344462117836898
1,400,16,16,16,0.029508422567032067,0.009681069368958573,16,0.1086,5.7786595821380615,0.07909157743296794
1,400,16,16,32,0.4448260835260752,0.32316921308496477,16,0.3289,7.849474668502808,0.1159260835260752
1,400,16,16,64,0.02224906603770127,0.4588441216157789,16,0.0287,12.000040054321289,0.006450933962298729
1,400,16,16,128,0.31150439097445354,0.13881064629362377,16,0.335,20.359081506729126,0.023495609025546482
1,400,16,16,256,0.4648947284894069,0.35049933186851745,16,0.4227,36.956865072250366,0.04219472848940686
1,400,64,2,16,0.4765217590695751,0.14488122297459538,16,0.3734,5.771888732910156,0.1031217590695751
1,400,64,2,32,0.33686050764579734,0.2837773975870529,16,0.2831,7.879597902297974,0.05376050764579732
1,400,64,2,64,0.2026002359555759,0.04170763610460848,16,0.28850000000000003,12.062092304229736,0.08589976404442412
1,400,64,2,128,0.27044054257187594,0.2970727751315011,16,0.3496,20.492754220962524,0.07915945742812408
1,400,64,2,256,0.23115356283733807,0.25706193205820144,16,0.24700000000000003,37.15011143684387,0.015846437162661958
1,400,64,4,16,0.13027630194728151,0.29811131520935763,16,0.2848,5.807616472244263,0.15452369805271848
1,400,64,4,32,0.1271869781756642,0.22389505132071252,16,0.1061,7.909445524215698,0.02108697817566421
1,400,64,4,64,0.41063018539756424,0.07702669075839064,16,0.4626,12.067701816558838,0.05196981460243577
1,400,64,4,128,0.4694377806847526,0.18901812721539146,16,0.42960000000000004,20.42478609085083,0.03983778068475258
1,400,64,4,256,0.19720733654396877,0.13121244247517466,16,0.09670000000000001,37.172359228134155,0.10050733654396876
1,400,64,8,16,0.17505724572330628,0.010224683797227796,16,0.1034,5.812576532363892,0.07165724572330627
1,400,64,8,32,0.10421149332449425,0.24769356329374465,16,0.0531,7.9097442626953125,0.05111149332449425
1,400,64,8,64,0.30383098460302527,0.03629314637675218,16,0.2723,12.109060049057007,0.03153098460302528
1,400,64,8,128,0.42255466069375225,0.017852790407592578,16,0.464,20.46890950202942,0.041445339306247775
1,400,64,8,256,0.20023309708560505,0.22133748491248634,16,0.2204,37.162888526916504,0.020166902914394963
1,400,64,16,16,0.02848346391022194,0.13590254996214246,16,0.0251,5.812127351760864,0.0033834639102219392
1,400,64,16,32,0.14339070944795468,0.01543831065510115,16,0.45070000000000005,7.92008900642395,0.30730929055204537
1,400,64,16,64,0.4654476934273457,0.18151707147490365,16,0.4773,12.099116563796997,0.011852306572654292
1,400,64,16,128,0.2738111880419497,0.23201001476961663,16,0.2796,20.41057515144348,0.005788811958050311
1,400,64,16,256,0.09525560195753613,0.2951652365759246,16,0.14150000000000001,37.156951665878296,0.046244398042463886
1,400,1,2,16,0.10079335565261238,0.15871704682281634,16,0.2849,5.503390550613403,0.1841066443473876
1,400,1,2,32,0.0740522151246783,0.49738755732450163,16,0.1,7.286273717880249,0.025947784875321706
1,400,1,2,64,0.42527071897349145,0.027515721649070568,16,0.3387,10.80666995048523,0.08657071897349145
1,400,1,2,128,0.03549276176038596,0.4109015274277256,16,0.0688,17.91910219192505,0.03330723823961404
1,400,1,2,256,0.3373213256264688,0.4569050276205446,16,0.4323,32.221118211746216,0.09497867437353119
1,400,1,4,16,0.34106683938882554,0.20763789568635777,16,0.1995,5.510993242263794,0.14156683938882553
1,400,1,4,32,0.26504914266245583,0.33884752463289364,16,0.16970000000000002,7.285544395446777,0.09534914266245581
1,400,1,4,64,0.08816466828695896,0.4472240435815006,16,0.0883,10.826732158660889,0.0001353317130410453
1,400,1,4,128,0.06281471750980605,0.46655111369641755,16,0.0033,17.927086114883423,0.05951471750980605
1,400,1,4,256,0.280861283296007,0.2142787480529697,16,0.2087,32.24456262588501,0.07216128329600702
1,400,1,8,16,0.20207867481438008,0.13168081903713397,16,0.1527,5.522726535797119,0.049378674814380075
1,400,1,8,32,0.3716958001029163,0.25245424501115177,16,0.2777,7.282139539718628,0.0939958001029163
1,400,1,8,64,0.34558203561269357,0.34874980527635074,16,0.3861,10.819591522216797,0.04051796438730643
1,400,1,8,128,0.10745421354527729,0.16545698673352627,16,0.08080000000000001,17.97496008872986,0.026654213545277278
1,400,1,8,256,0.4932039754909499,0.2936545271908825,16,0.4938,32.29575848579407,0.0005960245090501082
