N,T,edge_per_t,tot_edges,epsilon,epsilon0,mu,epsilon_estimated,time,distance_epsilon,method
2154,2154,4,8616,0.4914085568652225,0.25,0.003049293621883,0.4755,26.059584140777588,0.0159085568652224,msm_20_batches
2154,10000,4,40000,0.0908064256653818,0.25,0.0176503042770912,0.0828,388.751250743866,0.0080064256653818,msm_20_batches
10000,100,4,400,0.4059293488602699,0.25,0.4920718014935584,0.3503,1.4645957946777344,0.0556293488602698,msm_20_batches
10000,464,4,1856,0.437480822477949,0.25,0.7300912110901043,0.4739,4.388948440551758,0.0364191775220509,msm_20_batches
10000,2154,4,8616,0.3442066261929716,0.25,0.1087809523551785,0.3412,22.15187740325928,0.0030066261929716,msm_20_batches
10000,10000,4,40000,0.2847472063726878,0.25,0.0228702458044715,0.2634,401.8811106681824,0.0213472063726878,msm_20_batches
100,100,1,100,0.0804857184078043,0.25,0.1376627409456031,0.1332,1.0328154563903809,0.0527142815921956,msm_20_batches
100,464,1,464,0.2334400113816531,0.25,0.0108887338034789,0.2515,2.153074264526367,0.0180599886183468,msm_20_batches
100,2154,1,2154,0.1725860255776075,0.25,0.7040652372116957,0.1704,9.27747368812561,0.0021860255776074,msm_20_batches
100,10000,1,10000,0.1125199789070423,0.25,0.0639905676155356,0.1037,265.0518982410431,0.0088199789070422,msm_20_batches
464,100,1,100,0.2962559343828984,0.25,0.9843834501935108,0.3071,1.0029375553131104,0.0108440656171016,msm_20_batches
464,464,1,464,0.1561349188509584,0.25,0.220234226159156,0.1593,2.283677577972412,0.0031650811490415,msm_20_batches
464,2154,1,2154,0.4581527767341753,0.25,0.3144921313664621,0.4614,8.543320178985596,0.0032472232658246,msm_20_batches
464,10000,1,10000,0.4548177624757785,0.25,0.1047792271332263,0.4479,155.80202746391296,0.0069177624757785,msm_20_batches
2154,100,1,100,0.1285591468910981,0.25,0.7548914570605327,0.1329,0.8988039493560791,0.0043408531089019,msm_20_batches
2154,464,1,464,0.0554456503720146,0.25,0.4638577839002956,0.0855,1.549098253250122,0.0300543496279854,msm_20_batches
2154,2154,1,2154,0.0964813660095564,0.25,0.1158983687202194,0.0835,9.162850379943848,0.0129813660095564,msm_20_batches
2154,10000,1,10000,0.249792085339443,0.25,0.0625002756984099,0.2406,163.60418224334717,0.009192085339443,msm_20_batches
10000,100,1,100,0.3642928339872981,0.25,0.5045191697009946,0.3685,0.9600589275360109,0.0042071660127018,msm_20_batches
10000,464,1,464,0.1040972192043957,0.25,0.6738490080168676,0.102,1.6476807594299316,0.0020972192043957,msm_20_batches
10000,2154,1,2154,0.1240167791886153,0.25,0.7150881674206984,0.1188,8.869200468063354,0.0052167791886153,msm_20_batches
