,epsilon,distance_epsilon,mu,distance_mu,time,real_epsilon,real_mu,T,N,edge_per_t,ensemble_size,calibration_batches
79,0.0993,0.009300000000000003,0.88,0.68,18.534559726715088,0.09,0.19999999999999998,100,100,8,1,200
80,0.0269,0.0169,0.5,0.33999999999999986,16.64058208465576,0.01,0.8399999999999999,100,100,16,1,200
81,0.197,0.013000000000000012,0.88,0.20000000000000007,17.8969407081604,0.21000000000000002,0.6799999999999999,100,100,8,1,200
82,0.36300000000000004,0.046999999999999986,0.54,0.2999999999999998,16.308162689208984,0.41000000000000003,0.8399999999999999,100,100,16,1,200
83,0.11320000000000001,0.023200000000000012,0.02,0.18,15.406985998153687,0.09,0.19999999999999998,100,100,8,1,200
84,0.058800000000000005,0.008800000000000002,0.34,0.25999999999999995,17.356839418411255,0.05,0.6,100,100,8,1,200
85,0.0713,0.018699999999999994,0.8,0.20000000000000007,22.564234495162964,0.09,0.6,100,100,4,1,200
86,0.34440000000000004,0.06559999999999999,0.44,0.32,18.47370672225952,0.41000000000000003,0.12,100,100,8,1,200
87,0.1107,0.02070000000000001,0.61,0.25000000000000006,16.253364324569702,0.09,0.35999999999999993,100,100,4,1,200
88,0.1283,0.001700000000000007,0.9,0.46000000000000013,14.645786762237549,0.13,0.4399999999999999,100,100,8,1,200
89,0.2849,0.005100000000000049,0.56,0.11999999999999988,16.46752381324768,0.29000000000000004,0.6799999999999999,100,100,16,1,200
90,0.25170000000000003,0.041700000000000015,0.67,0.39000000000000007,18.36522340774536,0.21000000000000002,0.27999999999999997,100,100,4,1,200
91,0.30810000000000004,0.018100000000000005,0.12,0.6399999999999999,22.03312611579895,0.29000000000000004,0.7599999999999999,100,100,16,1,200
92,0.38980000000000004,0.020199999999999996,0.79,0.67,18.415825605392456,0.41000000000000003,0.12,100,100,4,1,200
93,0.3292,0.0008000000000000229,0.28,0.3999999999999999,18.259212970733643,0.33,0.6799999999999999,100,100,4,1,200
94,0.2311,0.0189,0.9,0.22000000000000008,17.81661891937256,0.25,0.6799999999999999,100,100,16,1,200
95,0.3337,0.11630000000000001,0.59,0.32999999999999996,18.269962787628174,0.45,0.9199999999999999,100,100,16,1,200
96,0.46180000000000004,0.09180000000000005,0.11,0.3299999999999999,19.676765203475952,0.37,0.4399999999999999,100,100,16,1,200
97,0.2889,0.03889999999999999,0.91,0.6300000000000001,18.340229034423828,0.25,0.27999999999999997,100,100,8,1,200
98,0.3693,0.0006999999999999784,0.0,0.12,17.455084800720215,0.37,0.12,100,100,8,1,200
99,0.0059,0.0041,0.48,0.12000000000000005,16.16268563270569,0.01,0.35999999999999993,100,100,1,1,200
100,0.2469,0.0030999999999999917,0.73,0.13,16.496659755706787,0.25,0.6,100,100,1,1,200
101,0.041800000000000004,0.008199999999999999,0.76,1.1102230246251565e-16,27.24954342842102,0.05,0.7599999999999999,100,100,8,1,200
102,0.1752,0.034800000000000025,0.37,0.5499999999999999,23.1988582611084,0.21000000000000002,0.9199999999999999,100,100,4,1,200
103,0.4022,0.032200000000000006,0.06,0.06,31.888399600982666,0.37,0.12,100,100,8,1,200
104,0.4082,0.0018000000000000238,0.79,0.1100000000000001,34.56459355354309,0.41000000000000003,0.6799999999999999,100,100,16,1,200
105,0.22510000000000002,0.015100000000000002,0.63,0.20999999999999985,26.885202169418335,0.21000000000000002,0.8399999999999999,100,100,4,1,200
106,0.0826,0.00739999999999999,0.9500000000000001,0.8300000000000001,21.553362369537354,0.09,0.12,100,100,16,1,200
107,0.31170000000000003,0.018299999999999983,0.31,0.29,30.68455672264099,0.33,0.6,100,100,8,1,200
108,0.1632,0.03320000000000001,0.23,0.04999999999999996,24.859631538391113,0.13,0.27999999999999997,100,100,16,1,200
109,0.2263,0.01629999999999998,0.1,0.82,24.26227355003357,0.21000000000000002,0.9199999999999999,100,100,4,1,200
110,0.4062,0.0038000000000000256,0.47000000000000003,0.4499999999999999,10.948791980743408,0.41000000000000003,0.9199999999999999,100,100,1,1,200
111,0.40800000000000003,0.0020000000000000018,0.55,0.11000000000000015,8.988944292068481,0.41000000000000003,0.4399999999999999,100,100,1,1,200
112,0.2676,0.02240000000000003,0.4,0.5199999999999999,11.105043411254883,0.29000000000000004,0.9199999999999999,100,100,1,1,200
113,0.0099,9.99999999999994e-05,0.08,0.6,16.163926362991333,0.01,0.6799999999999999,100,100,16,1,200
114,0.1927,0.01730000000000001,0.41000000000000003,0.02999999999999986,25.93265962600708,0.21000000000000002,0.4399999999999999,100,100,4,1,200
115,0.38,0.010000000000000009,0.32,0.27999999999999997,18.42592716217041,0.37,0.6,100,100,1,1,200
