N,T,edge_per_t,evidences_per_t,calibration_batches,epsilon_msm,real_epsilon,time_calibration,distance_epsilon
100,64,16,8,200,0.25320000000000004,0.21797632708653414,11.848182439804077,0.0352236729134659
100,64,16,8,400,0.25388,0.21797632708653414,23.70786738395691,0.035903672913465856
100,64,16,8,800,0.25317,0.21797632708653414,49.804452657699585,0.03519367291346587
100,64,16,8,50,0.18608000000000002,0.29827759682195865,3.9242703914642334,0.11219759682195862
100,64,16,8,100,0.18542,0.29827759682195865,7.727433204650879,0.11285759682195864
100,64,16,8,200,0.18489000000000003,0.29827759682195865,15.400903940200806,0.11338759682195862
100,64,16,8,400,0.18327000000000002,0.29827759682195865,30.74532389640808,0.11500759682195863
100,64,16,8,800,0.18303000000000003,0.29827759682195865,137.56835103034973,0.11524759682195862
100,64,16,8,50,0.0471,0.02439069489846596,3.0072834491729736,0.022709305101534044
100,64,16,8,100,0.05697000000000001,0.02439069489846596,7.305763006210327,0.03257930510153405
100,64,16,8,200,0.053610000000000005,0.02439069489846596,23.762104749679565,0.029219305101534046
100,64,16,8,400,0.04981000000000001,0.02439069489846596,33.77361845970154,0.025419305101534048
100,64,16,8,800,0.055080000000000004,0.02439069489846596,47.55819296836853,0.030689305101534045
100,64,16,8,50,0.09843,0.00881287952788501,2.986447811126709,0.089617120472115
100,64,16,8,100,0.13794,0.00881287952788501,6.01065731048584,0.129127120472115
100,64,16,8,200,0.10498,0.00881287952788501,11.997750043869019,0.096167120472115
100,64,16,8,400,0.10342000000000001,0.00881287952788501,23.97110915184021,0.094607120472115
100,64,16,8,800,0.13798000000000002,0.00881287952788501,48.037091970443726,0.129167120472115
100,64,16,8,50,0.3633,0.3044159594207892,3.017540454864502,0.05888404057921082
100,64,16,8,100,0.28845000000000004,0.3044159594207892,6.0314412117004395,0.015965959420789155
100,64,16,8,200,0.2882,0.3044159594207892,12.075953960418701,0.016215959420789183
100,64,16,8,400,0.20942000000000002,0.3044159594207892,30.29143714904785,0.09499595942078917
100,64,16,8,800,0.20989000000000002,0.3044159594207892,47.74735164642334,0.09452595942078917
100,64,16,8,50,0.36648000000000003,0.28193971658561634,2.939380645751953,0.08454028341438369
100,64,16,8,100,0.33936000000000005,0.28193971658561634,5.882032871246338,0.05742028341438371
100,64,16,8,200,0.33689,0.28193971658561634,11.7853364944458,0.05495028341438368
100,64,16,8,400,0.33662000000000003,0.28193971658561634,23.639694690704346,0.05468028341438369
100,64,16,8,800,0.33688,0.28193971658561634,50.43892860412598,0.05494028341438367
100,64,16,8,50,0.26006,0.28022732314914256,3.273561954498291,0.020167323149142546
