ensemble_size,calibration_batches,edge_per_t,T,real_epsilon,mu,rho,epsilon_msm,time_msm,abs_error_msm,rel_error_msm,epsilon_pgabm,time_pgabm,abs_error_pgabm,rel_error_pgabm,num_epochs
1,400,16,16,0.30782285160212275,0.1,16,0.03432,3.2446093559265137,0.27350285160212273,0.8885073027509978,0.2849364671347211,0.011961936950683594,0.022886384467401655,0.07434920555210603,32.0
1,400,16,32,0.40257979381281905,0.1,16,0.27139,5.010346412658691,0.13118979381281903,0.32587277312237933,0.4013700192004571,0.02822422981262207,0.0012097746123619357,0.00300505547211946,74.0
1,400,16,64,0.017761793825965433,0.1,16,0.16579000000000002,8.554968357086182,0.1480282061740346,8.334079745798906,0.02387051529521537,0.06318521499633789,0.0061087214692499385,0.343924804504812,160.0
1,400,16,128,0.2407299402252664,0.1,16,0.27611,15.623229742050171,0.03538005977473363,0.14696991882948274,0.23872760503877238,0.02036762237548828,0.0020023351864940087,0.008317765478694904,50.0
1,400,16,256,0.02547195581997941,0.1,16,0.07547000000000001,29.701005220413208,0.0499980441800206,1.9628663198608287,0.029412025984953846,0.06583762168884277,0.003940070164974437,0.15468267112350945,146.0
1,400,16,512,0.15495957368455499,0.1,16,0.16496000000000002,58.05603861808777,0.010000426315445038,0.06453571133205688,0.15281901488152438,0.027075767517089844,0.002140558803030601,0.013813659602523502,52.0
1,400,64,16,0.3215931434409841,0.1,16,0.29685,3.256608486175537,0.024743143440984106,0.07693927543428719,0.32552731857039635,0.01836109161376953,0.003934175129412243,0.01223339243902197,47.0
1,400,64,32,0.48822997147221625,0.1,16,0.47435000000000005,5.05107855796814,0.013879971472216202,0.028429167161455327,0.4729708047255806,0.06832528114318848,0.015259166746635633,0.03125405574881629,166.0
1,400,64,64,0.44412379804674995,0.1,16,0.40173000000000003,8.587129354476929,0.04239379804674992,0.0954549119709352,0.4399976268011981,0.04587864875793457,0.004126171245551868,0.009290588038062157,102.0
1,400,64,128,0.34138730455088306,0.1,16,0.34589000000000003,15.725969314575195,0.004502695449116967,0.01318940508066213,0.3363957515100547,0.026978492736816406,0.004991553040828378,0.014621378634437174,52.0
1,400,64,256,0.3129621208914278,0.1,16,0.32526000000000005,29.89601421356201,0.012297879108572274,0.039295104064170853,0.31306022286960916,0.02783656120300293,9.810197818138633e-05,0.00031346278553441836,43.0
1,400,64,512,0.10265440149774613,0.1,16,0.08854000000000001,58.48061680793762,0.01411440149774612,0.1374943625583947,0.10429419858558717,0.06658339500427246,0.0016397970878410384,0.015973957900646294,69.0
1,400,1,16,0.24677247424290766,0.1,16,0.23645000000000002,2.905376672744751,0.010322474242907637,0.041829925621067555,0.2408895244201161,0.024437427520751953,0.0058829498227915555,0.02383957060381354,68.0
1,400,1,32,0.37304171705830613,0.1,16,0.38008000000000003,4.31841254234314,0.007038282941693896,0.01886728111053011,0.32416062067473655,0.017331838607788086,0.04888109638356958,0.13103386068730083,48.0
1,400,1,64,0.1250897804541679,0.1,16,0.11935000000000001,7.139372110366821,0.005739780454167898,0.04588528681822186,0.1304681189550735,0.02277827262878418,0.005378338500905577,0.04299582652858013,63.0
1,400,1,128,0.39011442578458333,0.1,16,0.31372,12.780127048492432,0.07639442578458333,0.195825687888731,0.37374185677813476,0.02430248260498047,0.016372569006448567,0.04196863259675845,65.0
1,400,1,256,0.08046298900472126,0.1,16,0.09468000000000001,24.053162336349487,0.01421701099527875,0.17669006795713926,0.1188729008434496,0.025585412979125977,0.03840991183872834,0.47736123544297604,68.0
1,400,1,512,0.03652760824247869,0.1,16,0.01779,46.65190505981445,0.018737608242478693,0.5129711235976395,0.03239306323340302,0.053713321685791016,0.004134545009075674,0.11318959023075396,139.0
1,400,4,16,0.45286493360444524,0.1,16,0.33507000000000003,3.2432546615600586,0.1177949336044452,0.26011052051853756,0.44227170259434057,0.03257608413696289,0.010593231010104676,0.023391590348563685,89.0
1,400,4,32,0.07261420052457102,0.1,16,0.025820000000000003,5.005398273468018,0.04679420052457101,0.6444221679303197,0.06159294760870697,0.030588150024414062,0.011021252915864047,0.1517782036605182,82.0
1,400,4,64,0.19565807915923544,0.1,16,0.25398000000000004,8.551001787185669,0.058321920840764596,0.29808082084512116,0.20812925873007468,0.012180805206298828,0.012471179570839236,0.06373966065919325,33.0
1,400,4,128,0.1203288863070422,0.1,16,0.07211000000000001,15.625330448150635,0.048218886307042186,0.4007257757210722,0.11689914045238119,0.025862455368041992,0.0034297458546610066,0.02850309647102819,68.0
1,400,4,256,0.23733543899428933,0.1,16,0.26636000000000004,29.760419607162476,0.029024561005710714,0.12229341361198523,0.24465832016324623,0.02623891830444336,0.007322881168956907,0.0308545626392235,67.0
1,400,4,512,0.14986523568749416,0.1,16,0.11475,57.859145164489746,0.035115235687494153,0.23431208396267464,0.15041267900222918,0.022635459899902344,0.0005474433147350244,0.003652903972183237,54.0
1,400,16,16,0.2299850874911072,0.1,16,0.33173,3.2356157302856445,0.10174491250889284,0.442397868569748,0.22793487085657135,0.011863470077514648,0.002050216634535834,0.008914563361048832,32.0
1,400,16,32,0.41595606071577385,0.1,16,0.43696,5.007923126220703,0.02100393928422617,0.05049557217193268,0.4365588783064357,0.030921459197998047,0.020602817590661848,0.04953123547522949,81.0
