ensemble_size,calibration_batches,edge_per_t,T,real_epsilon,mu,rho,estimated_epsilon,time_calibration,distance_epsilon
1,400,4,64,0.21738306717858735,0.4846661774446738,16,0.2685,8.31092619895935,0.051116932821412664
1,400,4,128,0.40831740570679137,0.2321858958557343,16,0.37120000000000003,15.096933364868164,0.03711740570679134
1,400,4,256,0.016748189438588634,0.31792789846718855,16,0.050300000000000004,28.755648851394653,0.03355181056141137
1,400,16,16,0.48235544227164046,0.2340044384694283,16,0.37410000000000004,3.175065517425537,0.10825544227164041
1,400,16,32,0.22367053513670876,0.049452941632423975,16,0.4955,4.896533727645874,0.27182946486329124
1,400,16,64,0.021244016537139754,0.17378950658865716,16,0.15230000000000002,8.298085927963257,0.13105598346286026
1,400,16,128,0.019537708008654675,0.19512534154107647,16,0.0762,15.136192560195923,0.05666229199134533
1,400,16,256,0.18146578439449218,0.409647923567015,16,0.20770000000000002,28.866138696670532,0.026234215605507843
1,400,64,16,0.19682472730910944,0.21661396708926867,16,0.0233,3.205108880996704,0.17352472730910945
1,400,64,32,0.19230275515331624,0.04520291829977957,16,0.2626,4.921268701553345,0.07029724484668376
1,400,64,64,0.3883782765494002,0.24224106392056216,16,0.3219,8.364485502243042,0.0664782765494002
1,400,64,128,0.3999773641836202,0.3667468074168594,16,0.4137,15.23103380203247,0.013722635816379836
1,400,64,256,0.4565383845223439,0.32554857590642844,16,0.4098,29.098520278930664,0.04673838452234391
1,400,1,16,0.147882518311792,0.28808623047860205,16,0.0298,2.8598737716674805,0.118082518311792
1,400,1,32,0.09490511329385543,0.2984730001872285,16,0.041600000000000005,4.236871719360352,0.05330511329385542
1,400,1,64,0.020929165137534567,0.49302060735779574,16,0.020200000000000003,6.956255197525024,0.000729165137534564
1,400,1,128,0.4869341522043025,0.16133388946171562,16,0.4939,12.423369407653809,0.006965847795697533
1,400,1,256,0.10842394896033924,0.48532966681871254,16,0.1032,23.356351375579834,0.005223948960339245
1,400,4,16,0.17634174027984845,0.2734186211043104,16,0.1135,3.177332878112793,0.06284174027984844
1,400,4,32,0.07637325143220891,0.46671435966180314,16,0.1504,4.890651702880859,0.0740267485677911
1,400,4,64,0.028585080834300503,0.06779676872204421,16,0.0047,8.30546760559082,0.023885080834300503
1,400,4,128,0.2549666507013824,0.15697169318311033,16,0.19260000000000002,15.112593650817871,0.06236665070138239
1,400,4,256,0.49569888840338455,0.33575909158956263,16,0.46940000000000004,28.82105016708374,0.026298888403384513
1,400,16,16,0.15894255594921802,0.1700377665924856,16,0.0432,3.18804669380188,0.11574255594921802
