N,T,edge_per_t,evidences_per_t,optimizer_name,lr,model_name,epsilon_estimated,time,num_epochs,X0_mse,real_epsilon,mu,rho,distance_epsilon
100,20,16,5,RMSprop,0.0001,BC_observed_positive,0.25591954499111597,0.5736770629882812,201,,0.33367421747465714,0.4903787362789922,15,0.07775467248354118
100,20,16,5,RMSprop,0.0005,simple_BC,0.2788162712423761,0.07477355003356934,201,,0.33367421747465714,0.4903787362789922,15,0.05485794623228102
100,20,16,5,RMSprop,0.0005,BC_with_evidence,0.22066788632200177,5.428135871887207,201,0.19776421785354614,0.33367421747465714,0.4903787362789922,15,0.11300633115265538
100,20,16,5,RMSprop,0.0005,BC_observed_positive,0.27850968372713575,0.520531415939331,201,,0.33367421747465714,0.4903787362789922,15,0.055164533747521394
100,20,16,5,RMSprop,0.001,simple_BC,0.3032229818022127,0.07110023498535156,201,,0.33367421747465714,0.4903787362789922,15,0.030451235672444454
100,20,16,5,RMSprop,0.001,BC_with_evidence,0.1999053472219596,4.412355661392212,201,0.13525429368019104,0.33367421747465714,0.4903787362789922,15,0.13376887025269754
100,20,16,5,RMSprop,0.001,BC_observed_positive,0.3033099125323823,0.5276203155517578,201,,0.33367421747465714,0.4903787362789922,15,0.030364304942274822
100,20,16,5,RMSprop,0.005,simple_BC,0.3282402619638446,0.0470578670501709,135,,0.33367421747465714,0.4903787362789922,15,0.005433955510812549
100,20,16,5,RMSprop,0.005,BC_with_evidence,0.1609954606172877,5.4941651821136475,201,0.13643969595432281,0.33367421747465714,0.4903787362789922,15,0.17267875685736944
100,20,16,5,RMSprop,0.005,BC_observed_positive,0.3315024991466662,0.5434813499450684,201,,0.33367421747465714,0.4903787362789922,15,0.002171718327990957
100,20,16,5,RMSprop,0.01,simple_BC,0.3282414003644853,0.02636861801147461,65,,0.33367421747465714,0.4903787362789922,15,0.00543281711017185
100,20,16,5,RMSprop,0.01,BC_with_evidence,0.2705109254972932,5.502316474914551,201,0.06558585166931152,0.33367421747465714,0.4903787362789922,15,0.06316329197736392
100,20,16,5,RMSprop,0.01,BC_observed_positive,0.33220238578567696,0.5333526134490967,201,,0.33367421747465714,0.4903787362789922,15,0.0014718316889801852
100,20,16,5,adagrad,0.0001,simple_BC,0.25050342473374276,0.07925701141357422,201,,0.33367421747465714,0.4903787362789922,15,0.08317079274091438
