,real_epsilon,epsilon0,epsilon_torch,epsilon_scipy,mu,rho,N,T,edge_per_t,epochs,time,distance_torch_real,distance_scipy_real
821,0.753531010261819,0.07647763792586981,0.08384721969382818,0.7514647184597391,0.8374206283866962,359,3981,100000,5,11,0.0414578914642334,0.6696837905679909,0.002066291802079956
822,0.5411844691324124,0.941809274692693,0.9360573811326164,0.5358884673607681,0.232638818582119,359,10000,100,5,11,0.0034351348876953125,0.394872912000204,0.005296001771644243
823,0.6170080580238481,0.8927411841516315,0.6083786133219534,0.6147551908043852,0.1142209712779394,359,10000,398,5,143,0.05794477462768555,0.00862944470189464,0.0022528672194628285
824,0.09804329475073859,0.623486479660203,0.15118557308758568,0.09829661351444081,0.38155914816349934,359,10000,1584,5,215,0.1365804672241211,0.05314227833684709,0.00025331876370222883
825,0.288552727314624,0.47971440279581656,0.2993132255942645,0.2877571806521141,0.6016285342571913,359,10000,6309,5,92,0.13771748542785645,0.010760498279640485,0.0007955466625099161
826,0.3036940149858549,0.5105156526314968,0.3114098995721697,0.3030025384803812,0.3891531864192007,359,10000,25118,5,96,0.16884374618530273,0.007715884586314781,0.0006914765054736871
827,0.7740707396494463,0.05676011859128205,0.06235854208931926,0.7761170050697156,0.4476992934829017,359,10000,100000,5,11,0.03959059715270996,0.711712197560127,0.002046265420269311
828,0.700472596150869,0.8818552456831442,0.7156914735393395,0.7109371891896717,0.6205284425373716,359,100,100,10,108,0.039595842361450195,0.015218877388470498,0.01046459303880276
829,0.438818033599387,0.29874711074992266,0.43721981538036325,0.44054091195659195,0.6514096857131981,359,100,398,10,78,0.0379183292388916,0.0015982182190237282,0.001722878357204971
830,0.23594081553470747,0.4270673298078701,0.2745487910871261,0.2367559679434816,0.9735403717524596,359,100,1584,10,93,0.08810830116271973,0.03860797555241863,0.0008151524087741391
831,0.3695993388216371,0.7098543161538016,0.3681465062813385,0.3745921436362054,0.3273398723877634,359,100,6309,10,130,0.17582106590270996,0.0014528325402985987,0.004992804814568319
832,0.34271982111000576,0.022876068654967163,0.025220472750710873,1.0,0.12348882379574311,359,100,25118,10,11,0.03116750717163086,0.3174993483592949,0.6572801788899942
833,0.1921742724908989,0.10535901987839902,0.17707299462200168,0.18922207874364813,0.3881322414385394,359,100,100000,10,69,0.3613607883453369,0.015101277868897228,0.002952193747250781
834,0.2886035322943562,0.7960830714253831,0.2966070340900708,0.2893249211766687,0.562244839296282,359,251,100,10,184,0.06589198112487793,0.008003501795714574,0.0007213888823124903
835,0.9695337823365686,0.9589185260942371,0.9623693067271197,0.9589358233696805,0.9861271273199753,359,251,398,10,11,0.00568389892578125,0.007164475609448884,0.010597958966888088
836,0.5710156266922339,0.9425185377513722,0.9368386566767325,0.5673428736336273,0.792154321997426,359,251,1584,10,11,0.009580612182617188,0.36582302998449856,0.0036727530586065926
837,0.7599354822576514,0.674708273054169,0.754838315348097,0.75262630493419,0.3108666023457346,359,251,6309,10,53,0.07228493690490723,0.005097166909554418,0.007309177323461369
838,0.8798780584337339,0.7736950305045392,0.8363730117039686,0.8761881929960225,0.9740249670436765,359,251,25118,10,49,0.11395883560180664,0.043505046729765295,0.003689865437711437
839,0.18310349271931836,0.058797173461831886,0.06458546268100114,0.190726887233663,0.12846678280208323,359,251,100000,10,11,0.06315732002258301,0.11851803003831722,0.007623394514344628
840,0.5428962174477039,0.44911728231621784,0.5414817532447191,0.5403771814675601,0.8483301911207038,359,630,100,10,54,0.01971435546875,0.0014144642029847443,0.0025190359801438023
841,0.1655945347665525,0.0783980831059704,0.08594585979844256,0.1656693382291634,0.05738958648215209,359,630,398,10,11,0.005925893783569336,0.07964867496810994,7.48034626109062e-05
842,0.9128109415748493,0.15696150558740263,0.515624133283757,1.0,0.8078591691101338,359,630,1584,10,253,0.2036914825439453,0.3971868082910923,0.08718905842515068
843,0.25812494257621454,0.5380364262482703,0.26721378554038516,0.2570864757253551,0.31714899187273937,359,630,6309,10,118,0.1652083396911621,0.009088842964170618,0.0010384668508594541
