,epsilon,real_epsilon,time,sum_ab,calibration_batches,ensemble_size,mu,T,edge_per_t,evidences_per_t,distance_epsilon
191,0.3054,0.15,3.23309588432312,0.01,25,4,0.25,50,8,16,0.1554
192,0.1202,0.15,1.7431576251983643,0.01,50,1,0.65,50,16,1,0.029799999999999993
193,0.3559,0.25,4.416147232055664,10.0,50,2,0.15,50,8,4,0.1059
194,0.34490000000000004,0.35,7.1136744022369385,0.1,50,4,0.95,50,2,32,0.005099999999999938
195,0.36510000000000004,0.45,5.174904108047485,10.0,100,1,0.85,50,4,16,0.08489999999999998
196,0.4869,0.45,8.48644733428955,0.01,100,2,0.15,50,8,16,0.03689999999999999
197,0.189,0.15,17.241088151931763,0.1,100,4,0.75,50,4,16,0.03900000000000001
198,0.0217,0.05,1.8863768577575684,1.0,25,1,0.45,100,8,4,0.028300000000000002
199,0.25220000000000004,0.05,3.5763373374938965,1.0,25,2,0.95,100,16,32,0.20220000000000005
200,0.14550000000000002,0.15,6.9727582931518555,0.1,25,4,0.05,100,1,1,0.004499999999999976
201,0.38020000000000004,0.45,3.4842634201049805,0.01,50,1,0.35,100,16,4,0.06979999999999997
202,0.306,0.45,7.343561172485352,0.01,50,2,0.55,100,4,4,0.14400000000000002
203,0.454,0.45,13.148283958435059,0.01,50,4,0.15,100,4,32,0.0040000000000000036
204,0.34590000000000004,0.45,6.346061944961548,0.1,100,1,0.25,100,1,1,0.10409999999999997
205,0.2717,0.25,12.564582586288452,0.01,100,2,0.55,100,1,16,0.021699999999999997
206,0.3272,0.25,27.569563388824463,1.0,100,4,0.65,100,1,4,0.07719999999999999
207,0.4307,0.45,3.079435348510742,10.0,25,1,0.65,200,1,16,0.019299999999999984
208,0.1321,0.15,6.617614507675171,10.0,25,2,0.05,200,4,4,0.0179
209,0.4043,0.45,11.448418617248535,10.0,25,4,0.75,200,16,16,0.04570000000000002
210,0.4368,0.45,6.706006288528442,1.0,50,1,0.65,200,16,32,0.01319999999999999
211,0.21530000000000002,0.25,10.480842113494873,1.0,50,2,0.85,200,16,16,0.03469999999999998
212,0.057,0.05,21.46487522125244,10.0,50,4,0.45,200,2,4,0.006999999999999999
213,0.14120000000000002,0.15,12.819442510604858,1.0,100,1,0.55,200,2,32,0.008799999999999975
214,0.4181,0.25,25.217498779296875,1.0,100,2,0.65,200,16,4,0.16810000000000003
215,0.47700000000000004,0.25,50.958245038986206,10.0,100,4,0.05,200,8,32,0.22700000000000004
216,0.3403,0.45,1.3480491638183594,1.0,25,1,0.25,50,2,4,0.10970000000000002
217,0.3245,0.35,1.73508620262146,10.0,25,2,0.65,50,1,32,0.025499999999999967
218,0.44880000000000003,0.45,2.9837324619293213,10.0,25,4,0.15,50,2,1,0.0011999999999999789
219,0.4611,0.45,1.7277209758758545,0.01,50,1,0.35,50,16,16,0.011099999999999999
220,0.1439,0.45,3.2212719917297363,0.1,50,2,0.65,50,4,4,0.30610000000000004
221,0.2672,0.35,5.735376834869385,1.0,50,4,0.65,50,4,1,0.08279999999999998
222,0.1572,0.25,3.84377384185791,0.01,100,1,0.15,50,4,1,0.0928
223,0.4325,0.25,7.641027212142944,0.1,100,2,0.75,50,16,32,0.1825
224,0.2313,0.05,15.101252317428589,1.0,100,4,0.35,50,4,32,0.18130000000000002
225,0.1353,0.25,2.4796924591064453,10.0,25,1,0.05,100,1,4,0.1147
226,0.0738,0.05,2.958707094192505,1.0,25,2,0.05,100,1,32,0.0238
227,0.0095,0.05,6.050487756729126,0.1,25,4,0.55,100,8,1,0.0405
228,0.2311,0.45,3.376230001449585,0.01,50,1,0.95,100,8,1,0.2189
229,0.0738,0.05,7.742866516113281,10.0,50,2,0.05,100,1,32,0.0238
230,0.0892,0.05,13.65967345237732,0.1,50,4,0.75,100,16,32,0.0392
231,0.2286,0.25,5.942031145095825,0.1,100,1,0.75,100,4,4,0.021400000000000002
232,0.34700000000000003,0.15,13.498022556304932,10.0,100,2,0.75,100,16,4,0.19700000000000004
233,0.2802,0.45,25.126379013061523,10.0,100,4,0.85,100,2,4,0.1698
234,0.4161,0.15,3.4502410888671875,0.01,25,1,0.85,200,16,16,0.2661
235,0.1241,0.25,6.271969795227051,0.1,25,2,0.15,200,2,16,0.1259
236,0.4274,0.35,13.62066650390625,0.1,25,4,0.25,200,1,4,0.07740000000000002
237,0.3355,0.25,7.056453227996826,0.1,50,1,0.35,200,16,4,0.08550000000000002
238,0.3945,0.45,12.025039911270142,0.1,50,2,0.85,200,1,4,0.055499999999999994
239,0.4133,0.25,23.560292720794678,1.0,50,4,0.45,200,8,4,0.1633
240,0.47090000000000004,0.35,12.904349088668823,1.0,100,1,0.75,200,1,1,0.12090000000000006
241,0.3473,0.25,23.871661901474,1.0,100,2,0.75,200,2,4,0.0973
242,0.1756,0.15,50.00030040740967,10.0,100,4,0.75,200,4,16,0.02560000000000001
243,0.0099,0.05,0.9840068817138672,10.0,25,1,0.85,50,4,16,0.040100000000000004
244,0.39580000000000004,0.35,1.8543636798858643,10.0,25,2,0.55,50,16,16,0.04580000000000006
245,0.4788,0.45,3.5534791946411133,0.01,25,4,0.45,50,2,16,0.028799999999999992
246,0.167,0.15,2.237062692642212,0.1,50,1,0.85,50,16,4,0.017000000000000015
247,0.0024000000000000002,0.25,4.167513132095337,0.1,50,2,0.65,50,8,32,0.2476
248,0.4418,0.35,6.295875072479248,10.0,50,4,0.05,50,16,4,0.09180000000000005
249,0.29410000000000003,0.15,4.117875099182129,10.0,100,1,0.05,50,4,1,0.14410000000000003
250,0.306,0.35,7.394416570663452,10.0,100,2,0.95,50,2,4,0.043999999999999984
251,0.4671,0.15,17.297967672348022,10.0,100,4,0.65,50,16,4,0.31710000000000005
252,0.42660000000000003,0.45,2.0644638538360596,0.01,25,1,0.55,100,4,4,0.023399999999999976
