N,edge_per_t,T,evidences_per_t,epsilon_estimated,X0_r2,time,last_iteration,real_epsilon,mu,rho,distance_epsilon
100,16,256,2,0.19373827331220492,0.9264941811561584,76.93089413642883,401,0.18003447611667284,0.18133968168634756,16,0.01370379719553208
100,16,256,4,0.19253423487729804,0.9184664487838745,77.5165548324585,401,0.18003447611667284,0.18133968168634756,16,0.012499758760625201
100,16,256,8,0.1768865162386699,0.905097246170044,81.22659373283386,401,0.18003447611667284,0.18133968168634756,16,0.003147959878002926
100,16,256,16,0.19714927334854906,0.9223905801773071,81.94946432113647,401,0.18003447611667284,0.18133968168634756,16,0.017114797231876228
100,64,16,2,0.1740305006827669,-2.6324315071105957,11.38396692276001,401,0.18003447611667284,0.18133968168634756,16,0.006003975433905934
100,64,16,4,0.1490557181710495,0.13015908002853394,11.726178884506226,401,0.18003447611667284,0.18133968168634756,16,0.030978757945623325
100,64,16,8,0.1251997602132472,-1.673062801361084,11.214455604553223,401,0.18003447611667284,0.18133968168634756,16,0.054834715903425646
100,64,16,16,0.1703346558624258,0.7252997159957886,9.610884189605713,401,0.18003447611667284,0.18133968168634756,16,0.009699820254247038
100,64,32,2,0.1929765231862527,0.9097792506217957,15.049246072769165,401,0.18003447611667284,0.18133968168634756,16,0.012942047069579854
100,64,32,4,0.1681445682612341,-3.1957311630249023,16.003103733062744,401,0.18003447611667284,0.18133968168634756,16,0.011889907855438725
100,64,32,8,0.19729555790681222,0.8449621796607971,15.307663917541504,401,0.18003447611667284,0.18133968168634756,16,0.017261081790139382
100,64,32,16,0.18073902165532196,0.9178933501243591,19.842084169387817,401,0.18003447611667284,0.18133968168634756,16,0.0007045455386491262
100,64,64,2,0.18243402114221782,0.7878673076629639,30.826794862747192,401,0.18003447611667284,0.18133968168634756,16,0.0023995450255449857
100,64,64,4,0.18027904530265904,0.807752788066864,30.63637399673462,401,0.18003447611667284,0.18133968168634756,16,0.0002445691859861987
100,64,64,8,0.1920163972147106,0.9079033136367798,27.421281576156616,401,0.18003447611667284,0.18133968168634756,16,0.011981921098037751
100,64,64,16,0.14794327823786518,-3.44254732131958,21.39749765396118,401,0.18003447611667284,0.18133968168634756,16,0.032091197878807654
100,64,128,2,0.16374867045159294,-2.252425193786621,40.04315733909607,401,0.18003447611667284,0.18133968168634756,16,0.016285805665079894
100,64,128,4,0.19666914298570443,0.845069944858551,42.604233503341675,401,0.18003447611667284,0.18133968168634756,16,0.01663466686903159
100,64,128,8,0.16926101639857408,-3.652285099029541,38.71913766860962,401,0.18003447611667284,0.18133968168634756,16,0.01077345971809876
100,64,128,16,0.1731938216589584,-2.917782783508301,38.963651180267334,401,0.18003447611667284,0.18133968168634756,16,0.0068406544577144235
100,64,256,2,0.18659329679891865,-2.766893148422241,80.32118678092957,401,0.18003447611667284,0.18133968168634756,16,0.006558820682245808
100,64,256,4,0.18422979385601226,-3.617643356323242,78.78224277496338,401,0.18003447611667284,0.18133968168634756,16,0.004195317739339427
100,64,256,8,0.17928683111094681,-3.3629136085510254,74.35721397399902,401,0.18003447611667284,0.18133968168634756,16,0.000747645005726022
100,64,256,16,0.17115459392013008,-3.8747334480285645,80.76919555664062,401,0.18003447611667284,0.18133968168634756,16,0.00887988219654276
100,1,16,2,0.19918637003374867,-0.5116274356842041,2.800510883331299,401,0.2035611201097291,0.09673256993974444,16,0.004374750075980427
100,1,16,4,0.1382381185924521,0.0006619095802307129,2.8402342796325684,401,0.2035611201097291,0.09673256993974444,16,0.06532300151727699
100,1,16,8,0.1359329944937376,0.32467520236968994,2.8063876628875732,401,0.2035611201097291,0.09673256993974444,16,0.06762812561599149
100,1,16,16,0.18916659408551628,0.5038350820541382,2.8282833099365234,401,0.2035611201097291,0.09673256993974444,16,0.014394526024212817
100,1,32,2,0.2547309913032344,0.015516936779022217,5.5352959632873535,401,0.2035611201097291,0.09673256993974444,16,0.0511698711935053
100,1,32,4,0.22118556684433005,0.2895970940589905,5.454956531524658,401,0.2035611201097291,0.09673256993974444,16,0.01762444673460095
100,1,32,8,0.2375969722542369,0.4997328519821167,5.525959253311157,401,0.2035611201097291,0.09673256993974444,16,0.0340358521445078
100,1,32,16,0.24480153483075165,0.7187892198562622,5.532315731048584,401,0.2035611201097291,0.09673256993974444,16,0.04124041472102255
100,1,64,2,0.17133351743136926,0.1765885353088379,11.09960412979126,401,0.2035611201097291,0.09673256993974444,16,0.032227602678359835
100,1,64,4,0.18458576659258616,0.2658660411834717,11.231998920440674,401,0.2035611201097291,0.09673256993974444,16,0.01897535351714294
100,1,64,8,0.2122824476581778,0.6130634546279907,11.243282794952393,401,0.2035611201097291,0.09673256993974444,16,0.008721327548448704
100,1,64,16,0.23825157298941574,0.7852756977081299,11.143713235855103,401,0.2035611201097291,0.09673256993974444,16,0.03469045287968664
100,1,128,2,0.20896149512235457,0.5996999740600586,22.86709427833557,401,0.2035611201097291,0.09673256993974444,16,0.005400375012625469
100,1,128,4,0.22402975561638,0.527263879776001,22.753945112228394,401,0.2035611201097291,0.09673256993974444,16,0.0204686355066509
100,1,128,8,0.277090348000796,0.7789401412010193,23.075119018554688,401,0.2035611201097291,0.09673256993974444,16,0.07352922789106692
100,1,128,16,0.224437052770043,0.9025185108184814,23.030837297439575,401,0.2035611201097291,0.09673256993974444,16,0.0208759326603139
100,1,256,2,0.24626290491701436,0.7056282162666321,47.7248215675354,401,0.2035611201097291,0.09673256993974444,16,0.04270178480728526
100,1,256,4,0.20311181506598391,0.8754934668540955,47.89968943595886,401,0.2035611201097291,0.09673256993974444,16,0.0004493050437451851
100,1,256,8,0.1859489166565762,0.9084250926971436,47.63365602493286,401,0.2035611201097291,0.09673256993974444,16,0.017612203453152897
100,1,256,16,0.18415790160160367,0.9211137294769287,48.07065677642822,401,0.2035611201097291,0.09673256993974444,16,0.01940321850812543
100,4,16,2,0.20522400394446177,-0.4615044593811035,10.724979639053345,401,0.2035611201097291,0.09673256993974444,16,0.0016628838347326758
100,4,16,4,0.18446285571597565,0.02291560173034668,11.200972080230713,401,0.2035611201097291,0.09673256993974444,16,0.01909826439375345
100,4,16,8,0.21714506824987528,-0.03450477123260498,11.506355047225952,401,0.2035611201097291,0.09673256993974444,16,0.013583948140146185
100,4,16,16,0.198928439959893,0.5030096173286438,11.366257667541504,401,0.2035611201097291,0.09673256993974444,16,0.004632680149836088
100,4,32,2,0.19754066284172492,-0.10846805572509766,18.653287649154663,401,0.2035611201097291,0.09673256993974444,16,0.006020457268004181
100,4,32,4,0.2427915799387079,0.07082253694534302,17.965372562408447,401,0.2035611201097291,0.09673256993974444,16,0.0392304598289788
100,4,32,8,0.2578434504544945,0.5994611978530884,18.50728726387024,401,0.2035611201097291,0.09673256993974444,16,0.05428233034476543
100,4,32,16,0.19721832030986888,0.7228623628616333,15.596447467803955,401,0.2035611201097291,0.09673256993974444,16,0.006342799799860216
100,4,64,2,0.2102654815875155,0.38666826486587524,28.761570930480957,401,0.2035611201097291,0.09673256993974444,16,0.0067043614777864136
100,4,64,4,0.2245339588225443,0.5194120407104492,30.620136737823486,401,0.2035611201097291,0.09673256993974444,16,0.02097283871281519
100,4,64,8,0.19555967931741258,0.8478841185569763,29.078628063201904,401,0.2035611201097291,0.09673256993974444,16,0.008001440792316517
100,4,64,16,0.2134842767080301,0.8238222599029541,30.01945924758911,401,0.2035611201097291,0.09673256993974444,16,0.009923156598301008
100,4,128,2,0.1860918224281306,0.7063027620315552,39.85524773597717,401,0.2035611201097291,0.09673256993974444,16,0.017469297681598495
100,4,128,4,0.21239636324232317,0.8587477207183838,45.91020107269287,401,0.2035611201097291,0.09673256993974444,16,0.008835243132594067
100,4,128,8,0.24094583026658276,0.8690301179885864,40.55653142929077,401,0.2035611201097291,0.09673256993974444,16,0.03738471015685366
100,4,128,16,0.20451779696526942,0.9345998764038086,40.76217603683472,401,0.2035611201097291,0.09673256993974444,16,0.0009566768555403227
100,4,256,2,0.23304536774572904,0.9489178657531738,68.82588005065918,401,0.2035611201097291,0.09673256993974444,16,0.02948424763599994
100,4,256,4,0.20971542767875828,0.9364667534828186,84.10387992858887,401,0.2035611201097291,0.09673256993974444,16,0.006154307569029183
100,4,256,8,0.2031471239886348,0.9384558796882629,82.57746124267578,401,0.2035611201097291,0.09673256993974444,16,0.00041399612109430106
