N,T,edge_per_t,tot_edges,epsilon,epsilon0,mu,epsilon_pgabm,time_pgabm,epochs_pgabm,distance_epsilon_pgabm,epsilon_msm_20_batches,time_msm_20_batches,distance_epsilon_msm_20_batches,epsilon_msm_50_batches,time_msm_50_batches,distance_epsilon_msm_50_batches,epsilon_msm_100_batches,time_msm_100_batches,distance_epsilon_msm_100_batches
100,316,2,632,0.2127017327878188,0.25,0.5614096837184815,0.2086282446046526,0.30806660652160645,500,0.004073488183166191,0.195,0.5111644268035889,0.01770173278781878,0.2152,1.2834522724151611,0.0024982672121812155,0.21880000000000002,2.560051679611206,0.006098267212181235
100,1000,2,2000,0.405360616803685,0.25,0.7339231362848766,0.3536117996405441,0.5325865745544434,500,0.05174881716314089,0.4032,1.5126307010650635,0.0021606168036850115,0.3845,3.7792446613311768,0.020860616803685006,0.3825,8.089719772338867,0.022860616803685008
316,100,2,200,0.4709431230933526,0.25,0.08747276218504352,0.4812101880075416,0.13342714309692383,265,0.010267064914188995,0.4539,0.2835662364959717,0.017043123093352597,0.451,0.6919209957122803,0.01994312309335261,0.4554,1.3892884254455566,0.015543123093352595
316,316,2,632,0.4349553866341772,0.25,0.3997549876808645,0.4277641041938464,0.13350582122802734,210,0.007191282440330793,0.4253,0.5128295421600342,0.009655386634177199,0.4329,1.2841060161590576,0.002055386634177203,0.42510000000000003,2.5667033195495605,0.009855386634177177
316,1000,2,2000,0.35199974913994425,0.25,0.2796211794498489,0.34379459068978924,0.1848161220550537,133,0.008205158450155015,0.3461,1.52394700050354,0.0058997491399442326,0.3468,3.809304714202881,0.005199749139944254,0.3422,7.613741874694824,0.009799749139944247
1000,100,2,200,0.23514946239108764,0.25,0.42351005310518297,0.2216615983164297,0.2527332305908203,500,0.013487864074657935,0.24980000000000002,0.2775285243988037,0.014650537608912384,0.2599,0.6988036632537842,0.024750537608912382,0.263,1.3813555240631104,0.027850537608912374
1000,316,2,632,0.34134902145162566,0.25,0.49797863267328835,0.3328111290580914,0.07950568199157715,122,0.008537892393534252,0.34890000000000004,0.5120782852172852,0.007550978548374387,0.3406,1.2851135730743408,0.0007490214516256422,0.3504,2.5635857582092285,0.009050978548374333
1000,1000,2,2000,0.006709155278264767,0.25,0.660015223526051,0.03212716753426115,0.4537692070007324,431,0.02541801225599638,0.007500000000000001,1.5227620601654053,0.0007908447217352338,0.0035,3.8116776943206787,0.0032091552782647667,0.009300000000000001,7.62219500541687,0.002590844721735234
100,100,4,400,0.49123905925102196,0.25,0.4962361389702792,0.46616304814454324,0.2060391902923584,409,0.025076011106478724,0.4932,0.33600544929504395,0.0019609407489780684,0.28450000000000003,0.8473734855651855,0.20673905925102193,0.2891,1.6916847229003906,0.20213905925102194
100,316,4,1264,0.08603866591444798,0.25,0.6204682006051905,0.08816098323627086,0.14828824996948242,239,0.0021223173218228863,0.059800000000000006,0.735954999923706,0.02623866591444797,0.0728,1.839076280593872,0.013238665914447972,0.0734,3.679368257522583,0.012638665914447969
