,epsilon,distance_epsilon,mu,distance_mu,sum_ab,evidences_per_t,time,real_epsilon,real_mu,T,N,edge_per_t,ensemble_size,calibration_batches
115,0.4363,0.06630000000000003,0.31,0.29,0.1,10,38.337199687957764,0.37,0.6,100,100,1,1,200
116,0.09040000000000001,0.00040000000000001146,0.49,0.0500000000000001,10.0,10,27.148836612701416,0.09,0.4399999999999999,100,100,1,1,200
117,0.035,0.095,0.31,0.11000000000000001,10.0,20,33.048155307769775,0.13,0.19999999999999998,100,100,1,1,200
118,0.2492,0.08080000000000001,0.58,0.38,1.0,10,41.6335027217865,0.33,0.19999999999999998,100,100,4,1,200
119,0.33840000000000003,0.0484,0.51,0.15000000000000008,0.1,40,38.689332246780396,0.29000000000000004,0.35999999999999993,100,100,16,1,200
120,0.3659,0.04410000000000003,0.48,0.19999999999999996,1.0,40,39.640870332717896,0.41000000000000003,0.6799999999999999,100,100,1,1,200
121,0.4571,0.007099999999999995,0.65,0.37000000000000005,0.1,10,42.30162167549133,0.45,0.27999999999999997,100,100,8,1,200
122,0.47200000000000003,0.02200000000000002,0.18,0.01999999999999999,1.0,20,36.756510972976685,0.45,0.19999999999999998,100,100,16,1,200
123,0.224,0.06600000000000003,0.97,0.77,0.1,40,42.161776542663574,0.29000000000000004,0.19999999999999998,100,100,4,1,200
124,0.0838,0.006199999999999997,0.0,0.7599999999999999,0.1,20,38.366422176361084,0.09,0.7599999999999999,100,100,1,1,200
125,0.10890000000000001,0.018900000000000014,0.55,0.2899999999999998,0.1,10,33.83095860481262,0.09,0.8399999999999999,100,100,1,1,200
126,0.388,0.018000000000000016,0.66,0.14000000000000012,1.0,5,40.63111877441406,0.37,0.5199999999999999,100,100,4,1,200
127,0.4395,0.02949999999999997,0.55,0.11000000000000015,0.1,40,40.54297375679016,0.41000000000000003,0.4399999999999999,100,100,4,1,200
128,0.3245,0.045499999999999985,0.45,0.14999999999999997,1.0,10,41.20785880088806,0.37,0.6,100,100,4,1,200
129,0.0119,0.0381,0.58,0.14000000000000007,0.1,40,43.5615017414093,0.05,0.4399999999999999,100,100,16,1,200
130,0.2587,0.03130000000000005,0.4,0.04000000000000009,0.1,5,38.721614837646484,0.29000000000000004,0.35999999999999993,100,100,8,1,200
131,0.0125,0.0025000000000000005,0.33,0.1899999999999999,1.0,20,39.95403695106506,0.01,0.5199999999999999,100,100,4,1,200
132,0.25120000000000003,0.11879999999999996,0.66,0.4600000000000001,10.0,10,37.716689109802246,0.37,0.19999999999999998,100,100,8,1,200
133,0.3032,0.14679999999999999,0.29,0.24999999999999997,10.0,10,47.065977573394775,0.45,0.04,100,100,4,1,200
134,0.199,0.01100000000000001,0.86,0.5,10.0,5,43.17120003700256,0.21000000000000002,0.35999999999999993,100,100,4,1,200
