N,evidences_per_t,edge_per_t,T,epsilon_estimated,time,num_epochs,real_epsilon,mu,rho,distance_epsilon,early_stopping
100,8,64,256,0.07190841713352185,5.79519248008728,201,0.07162593102657355,0.26583135157100607,16,0.0002824861069482959,201
100,8,1,16,0.2125200314834967,0.4126617908477783,201,0.16094117349905074,0.2300361546831569,16,0.051578857984445975,201
100,8,1,32,0.07515925538041765,0.7293710708618164,201,0.16094117349905074,0.2300361546831569,16,0.08578191811863309,201
100,8,1,64,0.1281101464020047,1.322511911392212,201,0.16094117349905074,0.2300361546831569,16,0.03283102709704605,201
100,8,1,128,0.12742846393805782,2.577507257461548,201,0.16094117349905074,0.2300361546831569,16,0.03351270956099292,201
100,8,1,256,0.15286651416239505,5.840362787246704,201,0.16094117349905074,0.2300361546831569,16,0.008074659336655687,201
100,8,4,16,0.14491738836201837,0.41880321502685547,201,0.16094117349905074,0.2300361546831569,16,0.01602378513703237,201
100,8,4,32,0.17668812353652769,0.7293961048126221,201,0.16094117349905074,0.2300361546831569,16,0.015746950037476948,201
100,8,4,64,0.1425373461265739,1.3771905899047852,201,0.16094117349905074,0.2300361546831569,16,0.01840382737247684,201
100,8,4,128,0.16747554298774753,2.5066630840301514,201,0.16094117349905074,0.2300361546831569,16,0.00653436948869679,201
100,8,4,256,0.15078310462491853,5.930790901184082,201,0.16094117349905074,0.2300361546831569,16,0.010158068874132203,201
100,8,16,16,0.15858661819968795,0.41750550270080566,201,0.16094117349905074,0.2300361546831569,16,0.0023545552993627927,201
100,8,16,32,0.14957555517205376,0.7397806644439697,201,0.16094117349905074,0.2300361546831569,16,0.011365618326996979,201
100,8,16,64,0.16985725400297177,1.3670663833618164,201,0.16094117349905074,0.2300361546831569,16,0.008916080503921037,201
100,8,16,128,0.16969403864644902,2.5848476886749268,201,0.16094117349905074,0.2300361546831569,16,0.008752865147398287,201
100,8,16,256,0.16778634762889352,5.84818696975708,201,0.16094117349905074,0.2300361546831569,16,0.006845174129842785,201
100,8,64,16,0.16700447673419566,0.41865968704223633,201,0.16094117349905074,0.2300361546831569,16,0.006063303235144923,201
