N,T,edge_per_t,evidences_per_t,optimizer_name,num_epochs,lr,model_name,minibatch_size,epsilon_estimated,time,real_epsilon,mu,rho,distance_epsilon,X0_r2,early_stopping,max_epochs
100,64,16,8,adam,401,0.001,simple_BC,0,0.19060282061421727,0.157853364944458,0.0797605053747168,0.2816593051486279,16,0.11084231523950047,,401,401
100,64,16,8,adam,401,0.001,simple_BC,16,0.1930005707300994,0.17413926124572754,0.0797605053747168,0.2816593051486279,16,0.11324006535538261,,401,401
100,64,16,8,adam,401,0.001,simple_BC,32,0.1921838798168226,0.17272734642028809,0.0797605053747168,0.2816593051486279,16,0.11242337444210582,,401,401
100,64,16,8,adam,401,0.001,BC_with_evidence,0,0.19022134752470402,30.975934743881226,0.0797605053747168,0.2816593051486279,16,0.11046084214998722,-1.4196758270263672,401,401
100,64,16,8,adam,401,0.001,BC_with_evidence,16,0.19592574445795563,31.485111713409424,0.0797605053747168,0.2816593051486279,16,0.11616523908323884,-1.5902583599090576,401,401
100,64,16,8,adam,401,0.001,BC_with_evidence,32,0.19427112650497907,29.96676206588745,0.0797605053747168,0.2816593051486279,16,0.11451062113026228,-1.0375499725341797,401,401
100,64,16,8,adam,401,0.001,BC_observed_positive,0,0.18926830691747,2.7022640705108643,0.0797605053747168,0.2816593051486279,16,0.10950780154275319,,401,401
100,64,16,8,adam,401,0.001,BC_observed_positive,16,0.18926154455903163,2.799591064453125,0.0797605053747168,0.2816593051486279,16,0.10950103918431484,,401,401
100,64,16,8,adam,401,0.001,BC_observed_positive,32,0.18955187249454256,2.813593864440918,0.0797605053747168,0.2816593051486279,16,0.10979136711982576,,401,401
100,64,16,8,adam,401,0.005,simple_BC,0,0.10672784223842688,0.17011284828186035,0.0797605053747168,0.2816593051486279,16,0.026967336863710084,,401,401
100,64,16,8,adam,401,0.005,simple_BC,16,0.11238647799446369,0.179917573928833,0.0797605053747168,0.2816593051486279,16,0.032625972619746896,,401,401
100,64,16,8,adam,401,0.005,simple_BC,32,0.10929479618155655,0.17325448989868164,0.0797605053747168,0.2816593051486279,16,0.029534290806839752,,401,401
100,64,16,8,adam,401,0.005,BC_with_evidence,0,0.10448682204759378,28.09515953063965,0.0797605053747168,0.2816593051486279,16,0.02472631667287699,-0.9981557130813599,401,401
100,64,16,8,adam,401,0.005,BC_with_evidence,16,0.14676192400739715,25.83441972732544,0.0797605053747168,0.2816593051486279,16,0.06700141863268036,-0.8787450790405273,401,401
100,64,16,8,adam,401,0.005,BC_with_evidence,32,0.14942867187107362,32.219515562057495,0.0797605053747168,0.2816593051486279,16,0.06966816649635682,-0.6354422569274902,401,401
100,64,16,8,adam,401,0.005,BC_observed_positive,0,0.10409806494429573,2.7035837173461914,0.0797605053747168,0.2816593051486279,16,0.024337559569578934,,401,401
100,64,16,8,adam,401,0.005,BC_observed_positive,16,0.10442477450960395,2.802187204360962,0.0797605053747168,0.2816593051486279,16,0.02466426913488716,,401,401
100,64,16,8,adam,401,0.005,BC_observed_positive,32,0.104367095345357,2.7931315898895264,0.0797605053747168,0.2816593051486279,16,0.024606589970640205,,401,401
100,64,16,8,adam,401,0.01,simple_BC,0,0.0860397007262294,0.20554614067077637,0.0797605053747168,0.2816593051486279,16,0.006279195351512612,,401,401
100,64,16,8,adam,401,0.01,simple_BC,16,0.0896033488746056,0.1853957176208496,0.0797605053747168,0.2816593051486279,16,0.009842843499888801,,401,401
100,64,16,8,adam,401,0.01,simple_BC,32,0.08617736196569163,0.1796579360961914,0.0797605053747168,0.2816593051486279,16,0.006416856590974837,,401,401
100,64,16,8,adam,401,0.01,BC_with_evidence,0,0.07604575124886465,28.941962957382202,0.0797605053747168,0.2816593051486279,16,0.003714754125852149,0.0018036365509033203,401,401
100,64,16,8,adam,401,0.01,BC_with_evidence,16,0.11802247036079969,28.429915189743042,0.0797605053747168,0.2816593051486279,16,0.03826196498608289,-0.6726061105728149,401,401
100,64,16,8,adam,401,0.01,BC_with_evidence,32,0.09238860864095444,28.168563842773438,0.0797605053747168,0.2816593051486279,16,0.012628103266237645,-0.596118688583374,401,401
100,64,16,8,adam,401,0.01,BC_observed_positive,0,0.08829747332813076,2.7184319496154785,0.0797605053747168,0.2816593051486279,16,0.008536967953413965,,401,401
100,64,16,8,adam,401,0.01,BC_observed_positive,16,0.08804093287725756,2.7759721279144287,0.0797605053747168,0.2816593051486279,16,0.008280427502540766,,401,401
100,64,16,8,adam,401,0.01,BC_observed_positive,32,0.08819852249363662,2.7684993743896484,0.0797605053747168,0.2816593051486279,16,0.008438017118919824,,401,401
100,64,16,8,adam,172,0.05,simple_BC,0,0.0809192058737516,0.0729377269744873,0.0797605053747168,0.2816593051486279,16,0.001158700499034812,,172,401
100,64,16,8,adam,401,0.05,simple_BC,16,0.06465973918655628,0.17438364028930664,0.0797605053747168,0.2816593051486279,16,0.015100766188160517,,401,401
100,64,16,8,adam,401,0.05,simple_BC,32,0.0742437561875594,0.17417216300964355,0.0797605053747168,0.2816593051486279,16,0.005516749187157388,,401,401
100,64,16,8,adam,401,0.05,BC_with_evidence,0,0.059028808121356774,28.17919158935547,0.0797605053747168,0.2816593051486279,16,0.02073169725336002,0.28947913646698,401,401
100,64,16,8,adam,401,0.05,BC_with_evidence,16,0.07172422739664334,28.37308359146118,0.0797605053747168,0.2816593051486279,16,0.00803627797807345,-0.6096857786178589,401,401
100,64,16,8,adam,401,0.05,BC_with_evidence,32,0.06505061236805935,27.356314420700073,0.0797605053747168,0.2816593051486279,16,0.01470989300665744,-0.2918943166732788,401,401
100,64,16,8,adam,401,0.05,BC_observed_positive,0,0.0862378506244507,2.690207004547119,0.0797605053747168,0.2816593051486279,16,0.00647734524973391,,401,401
