N,T,edge_per_t,evidences_per_t,optimizer_name,lr,model_name,minibatch_size,epsilon_estimated,time,num_epochs,X0_r2,real_epsilon,mu,rho,distance_epsilon
100,64,16,8,nadam,0.0005,simple_BC,32,0.28120284214745206,0.2667429447174072,645,,0.27937964383820185,0.0819367168762507,16,0.0018231983092502069
100,64,16,8,nadam,0.0005,simple_BC,64,0.28120284214745206,0.2675740718841553,645,,0.27937964383820185,0.0819367168762507,16,0.0018231983092502069
100,64,16,8,nadam,0.0005,BC_with_evidence,0,0.2116002213524319,58.10426449775696,801,-1.1366708278656006,0.27937964383820185,0.0819367168762507,16,0.06777942248576996
100,64,16,8,nadam,0.0005,BC_with_evidence,16,0.2406447388849489,68.03767466545105,801,-1.0839242935180664,0.27937964383820185,0.0819367168762507,16,0.03873490495325296
100,64,16,8,nadam,0.0005,BC_with_evidence,32,0.2450098189434401,57.53529930114746,801,-1.009660005569458,0.27937964383820185,0.0819367168762507,16,0.03436982489476176
100,64,16,8,nadam,0.0005,BC_with_evidence,64,0.20862863902975465,66.51469945907593,801,-0.8274905681610107,0.27937964383820185,0.0819367168762507,16,0.0707510048084472
100,64,16,8,nadam,0.0005,BC_observed_positive,0,0.28573895996286347,5.466225624084473,801,,0.27937964383820185,0.0819367168762507,16,0.006359316124661618
100,64,16,8,nadam,0.0005,BC_observed_positive,16,0.2860909485283407,5.5036070346832275,801,,0.27937964383820185,0.0819367168762507,16,0.006711304690138864
100,64,16,8,nadam,0.0005,BC_observed_positive,32,0.2857724701610286,5.496845483779907,801,,0.27937964383820185,0.0819367168762507,16,0.006392826322826728
100,64,16,8,nadam,0.0005,BC_observed_positive,64,0.2859166185641312,5.454559803009033,801,,0.27937964383820185,0.0819367168762507,16,0.006536974725929345
100,64,16,8,nadam,0.001,simple_BC,0,0.28185863879013967,0.15634846687316895,381,,0.27937964383820185,0.0819367168762507,16,0.0024789949519378185
100,64,16,8,nadam,0.001,simple_BC,16,0.28185863879013967,0.16417574882507324,381,,0.27937964383820185,0.0819367168762507,16,0.0024789949519378185
100,64,16,8,nadam,0.001,simple_BC,32,0.28185863879013967,0.15343809127807617,381,,0.27937964383820185,0.0819367168762507,16,0.0024789949519378185
100,64,16,8,nadam,0.001,simple_BC,64,0.28185863879013967,0.1657240390777588,381,,0.27937964383820185,0.0819367168762507,16,0.0024789949519378185
100,64,16,8,nadam,0.001,BC_with_evidence,0,0.18866264862987145,62.92451286315918,801,-1.9310996532440186,0.27937964383820185,0.0819367168762507,16,0.0907169952083304
100,64,16,8,nadam,0.001,BC_with_evidence,16,0.2652122016597956,70.19765186309814,801,-1.0280935764312744,0.27937964383820185,0.0819367168762507,16,0.014167442178406264
100,64,16,8,nadam,0.001,BC_with_evidence,32,0.22376924186601063,64.16953253746033,801,-0.8167703151702881,0.27937964383820185,0.0819367168762507,16,0.05561040197219122
100,64,16,8,nadam,0.001,BC_with_evidence,64,0.23201547749219065,16.450737237930298,223,-1.1274380683898926,0.27937964383820185,0.0819367168762507,16,0.047364166346011205
100,64,16,8,nadam,0.001,BC_observed_positive,0,0.2868543166725019,5.455775022506714,801,,0.27937964383820185,0.0819367168762507,16,0.0074746728343000335
100,64,16,8,nadam,0.001,BC_observed_positive,16,0.2864671826921132,5.500630855560303,801,,0.27937964383820185,0.0819367168762507,16,0.007087538853911335
100,64,16,8,nadam,0.001,BC_observed_positive,32,0.28659807426575384,5.526921987533569,801,,0.27937964383820185,0.0819367168762507,16,0.007218430427551992
100,64,16,8,nadam,0.001,BC_observed_positive,64,0.2865319169693404,5.509121417999268,801,,0.27937964383820185,0.0819367168762507,16,0.007152273131138531
100,64,16,8,nadam,0.005,simple_BC,0,0.28237445458851845,0.040198564529418945,98,,0.27937964383820185,0.0819367168762507,16,0.002994810750316601
100,64,16,8,nadam,0.005,simple_BC,16,0.28237445458851845,0.06279826164245605,98,,0.27937964383820185,0.0819367168762507,16,0.002994810750316601
100,64,16,8,nadam,0.005,simple_BC,32,0.28237445458851845,0.03960824012756348,98,,0.27937964383820185,0.0819367168762507,16,0.002994810750316601
100,64,16,8,nadam,0.005,simple_BC,64,0.28237445458851845,0.04059934616088867,98,,0.27937964383820185,0.0819367168762507,16,0.002994810750316601
100,64,16,8,nadam,0.005,BC_with_evidence,0,0.07754348945860981,71.54063248634338,801,-9.654004096984863,0.27937964383820185,0.0819367168762507,16,0.20183615437959204
100,64,16,8,nadam,0.005,BC_with_evidence,16,0.23177051013178188,63.4169499874115,801,-0.8548331260681152,0.27937964383820185,0.0819367168762507,16,0.047609133706419976
